n_elements,num_unions,total_time_seconds,time_per_union
100,500,0.00015775,3.155e-07
200,1000,0.000309833,3.09833e-07
400,2000,0.000616875,3.08438e-07
800,4000,0.00121842,3.04604e-07
1600,8000,0.00200829,2.51037e-07
3200,16000,0.00337854,2.11159e-07
6400,32000,0.0055935,1.74797e-07
12800,64000,0.0104394,1.63116e-07
25600,128000,0.0170905,1.3352e-07
51200,256000,0.0283532,1.10755e-07
102400,512000,0.0471079,9.20076e-08
204800,1024000,0.090808,8.86797e-08
409600,2048000,0.190902,9.32138e-08
819200,4096000,0.377476,9.21571e-08
1638400,8192000,0.772366,9.4283e-08
3276800,16384000,1.74339,1.06408e-07
6553600,32768000,4.43082,1.35218e-07
13107200,65536000,13.5078,2.06113e-07
26214400,131072000,28.8492,2.20102e-07
52428800,262144000,58.9176,2.24753e-07
