id,x,y,radius,is_spanning
0,206.431,137.101,2,0
1,11.2847,77.1847,2,0
2,342.816,6.01403,2,0
3,409.433,106.656,2,0
4,190.467,64.9225,2,0
5,272.281,110.354,2,0
6,121.986,25.7087,2,0
7,100.634,198.32,2,0
8,261.187,146.635,2,0
9,159.856,134.667,2,0
10,189.123,2,2,0
11,350.272,92.4961,2,0
12,119.603,29.8789,2,0
13,378.528,205.443,2,0
14,288.08,105.142,2,0
15,379.444,70.6391,2,0
16,358.036,31.1142,2,0
17,443.78,104.651,2,0
18,390.546,219.946,2,0
19,198.214,177.227,2,0
20,117.048,102.956,2,0
21,447.949,222.321,2,0
22,35.8546,98.8153,2,0
23,147.592,96.6312,2,0
24,474.748,170.701,2,0
25,18.5174,6.99502,2,0
26,85.7516,160.041,2,0
27,10.0226,68.7828,2,0
28,359.726,13.2792,2,0
29,268.649,43.8004,2,0
30,257.254,114.995,2,0
31,316.163,9.77479,2,0
32,389.117,185.819,2,0
33,16.9293,143.205,2,0
34,447.148,145.578,2,0
35,253.384,44.6359,2,0
36,322.559,159.439,2,0
37,206.706,184.853,2,0
38,96.8163,108.323,2,0
39,114.106,164.474,2,0
40,300.414,183.564,2,0
41,292.04,9.62466,2,0
42,76.0496,178.758,2,0
43,396.813,164.064,2,0
44,10.1484,179.42,2,0
45,100.712,183.768,2,0
46,259.718,161.426,2,0
47,291.314,87.764,2,0
48,403.773,204.907,2,0
49,318.059,195.273,2,0
50,179.967,132.806,2,0
51,7.14212,75.2807,2,0
52,486.362,174.647,2,0
53,55.0148,37.8029,2,0
54,72.2805,173.145,2,0
55,65.7385,168.451,2,0
56,108.857,108.68,2,0
57,411.648,33.7358,2,0
58,24.1953,232.764,2,0
59,307.58,228.498,2,0
60,15.015,121.79,2,0
61,353.761,223.806,2,0
62,276.649,112.149,2,0
63,286.8,101.349,2,0
64,78.1009,213.684,2,0
65,370.854,39.4182,2,0
66,299.254,144.078,2,0
67,419.338,170.707,2,0
68,255.914,192.03,2,0
69,261.14,41.0964,2,0
70,177.689,193.573,2,0
71,148.638,244.529,2,0
72,269.144,208.922,2,0
73,275.162,160.078,2,0
74,425.065,236.51,2,0
75,476.645,225.489,2,0
76,456.432,30.4558,2,0
77,119.374,69.7055,2,0
78,385.308,2,2,0
79,55.5619,121.772,2,0
80,369.615,216.556,2,0
81,336.883,83.4936,2,0
82,155.209,154.385,2,0
83,165.494,27.4882,2,0
84,153.363,9.38903,2,0
85,302.922,41.1425,2,0
86,131.677,113.804,2,0
87,324.827,82.6515,2,0
88,468.852,233.422,2,0
89,215.82,167.315,2,0
90,425.545,85.9493,2,0
91,296.402,36.1425,2,0
92,136.06,26.9725,2,0
93,248.878,200.005,2,0
94,360.125,50.0559,2,0
95,311.471,212.707,2,0
96,124.703,178.474,2,0
97,291.197,108.084,2,0
98,401.368,129.575,2,0
99,78.9863,42.9008,2,0
100,262.165,139.477,2,0
101,57.9656,213.582,2,0
102,90.1297,152.897,2,0
103,386.866,57.8852,2,0
104,446.744,226.218,2,0
105,180.234,188.277,2,0
106,195.287,13.6129,2,0
107,120.824,159.786,2,0
108,433.361,147.185,2,0
109,169.323,85.2795,2,0
110,150.744,248,2,0
111,237.176,248,2,0
112,345.008,43.3446,2,0
113,86.2383,79.1663,2,0
114,338.2,90.5805,2,0
115,389.042,22.1052,2,0
116,105.535,204.719,2,0
117,461.378,11.6433,2,0
118,160.911,223.4,2,0
119,238.834,165.926,2,0
120,48.2723,149.841,2,0
121,185.622,193.317,2,0
122,405.615,117.307,2,0
123,217.141,152.809,2,0
124,101.612,75.5078,2,0
125,472.748,66.9142,2,0
126,301.692,122.75,2,0
127,19.5946,177.484,2,0
128,253.264,248,2,0
129,132.961,102.839,2,0
130,375.747,226.439,2,0
131,404.522,149.06,2,0
132,16.0769,164.915,2,0
133,302.98,142.412,2,0
134,9.4535,160.662,2,0
135,86.6091,6.00812,2,0
136,312.405,179.781,2,0
137,434.306,244.707,2,0
138,490.08,54.9757,2,0
139,391.881,143.68,2,0
140,498.229,51.5389,2,0
141,231.711,196.881,2,0
142,240.903,238.686,2,0
143,143.568,53.9199,2,0
144,2.60896,37.9736,2,0
145,318.485,132.867,2,0
146,281.813,34.0482,2,0
147,245.25,14.6268,2,0
148,442.88,192.338,2,0
149,446.663,3.34632,2,0
150,280.366,78.5859,2,0
151,124.642,5.65949,2,0
152,194.524,236.598,2,0
153,333.12,51.7217,2,0
154,275.744,99.9677,2,0
155,285.852,187.393,2,0
156,289.271,153.527,2,0
157,393.617,129.937,2,0
