id,x,y,radius,is_spanning
0,105.86,86.9676,2,0
1,470.878,266.511,2,0
2,560.49,49.7028,2,0
3,438.123,179.504,2,0
4,399.08,281.345,2,0
5,518.208,119.694,2,0
6,561.817,116.983,2,0
7,39.4617,261.55,2,0
8,64.3538,152.484,2,0
9,131.233,186.123,2,0
10,371.778,172.178,2,0
11,500.568,265.184,2,0
12,439.154,260.167,2,0
13,229.651,214.606,2,0
14,489.957,104.146,2,0
15,53.5003,40.2248,2,0
16,258.225,2,2,0
17,153.158,210.018,2,0
18,524.716,56.322,2,0
19,86.05,87.1754,2,0
20,240.322,90.6261,2,0
21,52.2446,69.1334,2,0
22,481.034,138.527,2,0
23,284.531,72.9847,2,0
24,100.502,297.587,2,0
25,598.305,270.009,2,0
26,388.724,42.1149,2,0
27,100.962,21.0427,2,0
28,343.649,11.4528,2,0
29,202.952,253.812,2,0
30,597.261,191.215,2,0
31,487.789,238.381,2,0
32,474.271,62.0443,2,0
33,502.979,4.95087,2,0
34,365.812,107.211,2,0
35,288.953,286.602,2,0
36,188.274,18.4702,2,0
37,53.0243,184.877,2,0
38,85.6464,245.778,2,0
39,226.709,147.404,2,0
40,126.799,115.344,2,0
41,233.708,220.469,2,0
42,271.116,266.518,2,0
43,44.033,68.9813,2,0
44,89.158,180.594,2,0
45,576.136,179.771,2,0
46,571.503,122.163,2,0
47,100.596,231.322,2,0
48,488.557,42.9246,2,0
49,551.701,14.963,2,0
50,86.2363,18.3788,2,0
51,516.125,30.9263,2,0
52,263.219,57.4502,2,0
53,583.657,101.243,2,0
54,309.99,128.212,2,0
55,508.449,37.2035,2,0
56,326.972,162.156,2,0
57,77.701,12.4421,2,0
58,248.075,170.693,2,0
59,172.408,89.5359,2,0
60,353.87,276.34,2,0
61,178.084,217.148,2,0
62,102.478,24.8326,2,0
63,496.255,81.0084,2,0
64,276.799,279.829,2,0
65,215.027,171.819,2,0
66,532.322,241.914,2,0
67,451.46,292.749,2,0
68,155.366,218.376,2,0
69,38.8078,2,2,0
70,552.735,50.7697,2,0
71,14.4321,79.9319,2,0
72,34.1044,172.715,2,0
73,126.896,36.4456,2,0
74,160.998,184.306,2,0
75,207.229,295.375,2,0
76,277.852,70.622,2,0
77,76.9296,211.01,2,0
78,457.758,267.973,2,0
79,473.135,130.727,2,0
80,131.318,276.847,2,0
81,564.513,54.8463,2,0
82,84.4972,133.196,2,0
83,359.659,122.384,2,0
84,572.626,185.354,2,0
85,155.649,254.164,2,0
86,147.599,282.724,2,0
87,281.657,290.042,2,0
88,96.7474,11.9183,2,0
89,194.189,54.5715,2,0
90,499.283,147.354,2,0
91,176.096,120.639,2,0
92,263.474,90.1638,2,0
93,397.013,206.138,2,0
94,574.885,273.508,2,0
95,266.961,238.58,2,0
96,35.7341,277.203,2,0
97,356.569,199.53,2,0
98,594.672,115.353,2,0
99,120.157,134.527,2,0
100,290.101,180.521,2,0
101,144.87,92.9759,2,0
102,258.18,199.709,2,0
103,254.677,73.8414,2,0
104,150.578,269.83,2,0
105,362.768,140.763,2,0
106,314.899,167.088,2,0
107,424.636,79.2548,2,0
108,196.35,267.634,2,0
109,166.057,207.205,2,0
110,196.393,105.816,2,0
111,492.159,81.4299,2,0
112,459.074,195.258,2,0
113,158.751,34.9163,2,0
114,28.1258,147.283,2,0
115,256.774,20.9998,2,0
116,65.0384,139.845,2,0
117,367.946,131.166,2,0
118,108.533,240.029,2,0
119,170.068,179.023,2,0
120,325.272,56.9217,2,0
121,179.69,186.75,2,0
122,477.178,260.919,2,0
123,153.978,239.44,2,0
124,328.222,176.931,2,0
125,588.375,2,2,0
126,272.95,196.956,2,0
127,539.831,41.6784,2,0
128,432.457,220.854,2,0
129,196.762,42.7967,2,0
130,418.132,126.4,2,0
131,287.436,183.676,2,0
132,70.4555,180.77,2,0
133,357.152,232.756,2,0
134,10.1894,5.23892,2,0
135,383.292,109.362,2,0
136,308.444,2,2,0
137,477.615,271.008,2,0
138,353.143,173.153,2,0
139,123.633,57.0354,2,0
140,215.673,12.6846,2,0
141,435.909,163.959,2,0
142,306.151,99.9258,2,0
143,387.697,221.388,2,0
144,560.047,227.161,2,0
145,402.305,78.1451,2,0
146,533.003,117.898,2,0
147,411.554,54.1095,2,0
148,47.0166,189.605,2,0
149,136.888,15.275,2,0
150,523.245,37.0394,2,0
151,583.354,93.1108,2,0
152,498.613,123.168,2,0
153,541.031,26.8694,2,0
154,119.035,204.227,2,0
155,462.45,276.188,2,0
156,183.64,122.527,2,0
157,458.439,276.134,2,0
158,321.121,30.4151,2,0
159,478.103,89.5087,2,0
160,533.666,51.0275,2,0
161,237.597,115.415,2,0
162,405.085,154.542,2,0
163,519.279,180.152,2,0
164,598.278,211.686,2,0
165,159.739,145.715,2,0
166,453.261,209.197,2,0
167,107.646,217.351,2,0
168,81.2357,52.0866,2,0
169,547.032,192.911,2,0
170,262.837,258.767,2,0
171,598.349,130.918,2,0
172,554.854,138.913,2,0
173,583.351,113.111,2,0
174,22.1526,109.104,2,0
175,43.6414,272.271,2,0
176,319.083,92.7091,2,0
177,468.761,205.909,2,0
178,298.113,90.9805,2,0
179,167.649,77.8275,2,0
180,496.948,190.432,2,0
181,443.772,88.159,2,0
182,318.934,208.684,2,0
183,391.06,230.786,2,0
184,291.291,53.5937,2,0
185,463.649,157.193,2,0
186,336.193,61.1533,2,0
187,267.94,180.858,2,0
188,428.402,129.766,2,0
189,156.633,23.5141,2,0
190,166.057,179.041,2,0
191,327.388,265.38,2,0
192,518.673,155.482,2,0
193,424.212,291.287,2,0
194,405.354,88.136,2,0
195,505.955,241.399,2,0
196,473.894,167.205,2,0
197,130.874,142.421,2,0
198,253.328,27.491,2,0
199,350.993,236.5,2,0
200,396.067,21.8812,2,0
201,231.504,191.889,2,0
202,208.613,25.196,2,0
203,306.586,105.084,2,0
204,587.175,229.723,2,0
205,393.266,51.4919,2,0
206,366.722,55.3997,2,0
207,258.671,187.175,2,0
208,24.6598,28.8756,2,0
209,326.642,2,2,0
210,515.822,26.4206,2,0
211,58.9555,60.7663,2,0
212,574.443,298,2,0
213,78.2974,197.236,2,0
214,485.756,149.628,2,0
215,27.4959,276.199,2,0
216,8.8154,63.8413,2,0
217,47.8193,286.857,2,0
218,386.737,28.556,2,0
219,106.51,36.6091,2,0
220,30.3191,150.688,2,0
221,597.301,145.044,2,0
222,170.43,218.683,2,0
223,179.232,240.755,2,0
224,487.602,167.968,2,0
225,248.629,270.824,2,0
226,535.81,41.277,2,0
227,172.444,129.181,2,0
228,529.095,239.467,2,0
229,51.2036,197.006,2,0
230,145.653,205.572,2,0
231,366.039,210.319,2,0
232,283.189,119.48,2,0
233,429.092,281.034,2,0
234,456.152,271.728,2,0
235,439.68,271.382,2,0
236,551.761,110.119,2,0
237,375.774,25.9789,2,0
238,556.587,239.194,2,0
239,274.563,285.995,2,0
240,225.618,9.78444,2,0
241,63.6398,288.741,2,0
242,78.9652,2,2,0
243,465.651,54.9109,2,0
244,2.36331,130.348,2,0
245,380.569,239.692,2,0
246,469.427,52.4902,2,0
247,7.7997,68.8233,2,0
248,564.497,155.912,2,0
249,432.722,150.567,2,0
250,49.8208,275.433,2,0
251,503.619,57.1977,2,0
252,430.13,95.6141,2,0
253,84.6525,186.798,2,0
254,535.633,58.8067,2,0
255,589.257,172.569,2,0
256,398.864,244.711,2,0
257,87.8517,90.7773,2,0
258,222.229,61.2236,2,0
259,225.519,213.951,2,0
260,523.623,204.344,2,0
261,502.102,252.508,2,0
262,589.786,147.061,2,0
263,517.585,161.505,2,0
264,527.553,31.6212,2,0
265,31.6386,216.872,2,0
266,163.162,152.724,2,0
267,194.39,62.8081,2,0
268,136.716,92.5895,2,0
269,546.835,252.383,2,0
270,590.286,227.12,2,0
271,496.306,44.7428,2,0
272,288.92,291.059,2,0
273,552.969,257.687,2,0
274,166.582,217.335,2,0
275,121.507,2,2,0
276,391.482,201.797,2,0
277,519.297,263.266,2,0
278,574.714,232.815,2,0
279,591.396,46.9694,2,0
280,473.086,45.9826,2,0
281,41.3109,257.991,2,0
282,145.154,82.9435,2,0
283,207.132,288.018,2,0
284,404.639,158.614,2,0
285,475.719,85.9455,2,0
286,429.03,152.113,2,0
287,564.683,264.819,2,0
288,365.973,257.704,2,0
289,505.57,139.296,2,0
290,492.783,38.5176,2,0
291,532.818,275.485,2,0
292,387.378,252.694,2,0
293,204.534,164.866,2,0
294,335.85,170.474,2,0
295,46.482,97.2229,2,0
296,423.261,65.7703,2,0
297,381.269,138.107,2,0
298,202.487,0.0655329,2,0
299,402.575,231.583,2,0
300,433.118,47.5376,2,0
301,426.298,125.81,2,0
302,461.357,140.771,2,0
303,587.75,71.1879,2,0
304,584.744,232.943,2,0
305,202.127,261.938,2,0
306,7.00763,281.821,2,0
307,115.448,71.9259,2,0
308,259.524,270.078,2,0
309,553.888,39.1641,2,0
310,424.572,165.106,2,0
311,252.724,260.924,2,0
312,3.21206,103.103,2,0
313,327.826,180.914,2,0
314,139.026,116.746,2,0
315,290.213,222.166,2,0
316,129.106,199.993,2,0
317,389.143,128.859,2,0
318,366.73,142.084,2,0
319,410.471,85.1695,2,0
320,98.8778,144.273,2,0
321,187.119,44.7284,2,0
322,446.111,233.067,2,0
323,39.1798,272.097,2,0
324,597.085,119.753,2,0
325,421.983,185.834,2,0
326,167.441,9.40335,2,0
327,459.391,78.0897,2,0
