id,x,y,radius,is_spanning
0,169.439,298,2,0
1,549.024,254.873,2,0
2,267.579,255.521,2,0
3,557.19,5.73736,2,0
4,109.369,36.1961,2,0
5,383.772,254.561,2,0
6,136.218,290.718,2,0
7,83.1543,283.941,2,0
8,154.23,158.564,2,0
9,458.331,51.8787,2,0
10,383.642,282.794,2,0
11,201.183,238.025,2,0
12,183.147,209.02,2,0
13,417.719,258.97,2,0
14,469.22,269.693,2,0
15,83.9936,184.069,2,0
16,18.099,43.2974,2,0
17,549.094,246.825,2,0
18,400.956,213.426,2,0
19,135.887,257.113,2,0
20,431.466,58.4542,2,0
21,406.445,149.468,2,0
22,571.981,235.949,2,0
23,26.7222,173.77,2,0
24,7.14495,4.88613,2,0
25,193.516,16.7239,2,0
26,464.825,27.7212,2,0
27,428.778,288.306,2,0
28,87.6446,223.499,2,0
29,380.471,155.08,2,0
30,468.953,55.9575,2,0
31,16.4158,184.187,2,0
32,381.187,123.376,2,0
33,422.741,261.181,2,0
34,540.364,217.673,2,0
35,593.836,236.048,2,0
36,40.1384,188.779,2,0
37,506.313,191.024,2,0
38,217.138,20.5782,2,0
39,107.245,106.171,2,0
40,557.408,201.887,2,0
41,56.5431,287.269,2,0
42,415.521,255.551,2,0
43,447.692,241.787,2,0
44,278.323,200.967,2,0
45,141.446,128.763,2,0
46,406.462,269.448,2,0
47,555.433,216.67,2,0
48,179.157,230.388,2,0
49,433.391,134.521,2,0
50,543.436,75.0719,2,0
51,44.835,122.026,2,0
52,159.167,120.618,2,0
53,504.346,125.765,2,0
54,517.263,120.351,2,0
55,423.083,209.854,2,0
56,8.31074,80.0836,2,0
57,370.029,52.1547,2,0
58,526.683,108.23,2,0
59,176.936,84.3269,2,0
60,67.1302,107.649,2,0
61,462.923,159.119,2,0
62,459.357,251.129,2,0
63,237.449,191.91,2,0
64,76.1291,182.657,2,0
65,19.2633,111.554,2,0
66,466.231,106.102,2,0
67,167.52,165.752,2,0
68,55.2357,283.442,2,0
69,125.034,60.3377,2,0
70,264.585,213.141,2,0
71,364.255,69.7384,2,0
72,379.781,36.1509,2,0
73,314.76,194.275,2,0
74,377.92,137.908,2,0
75,292.945,15.7594,2,0
76,113.805,2,2,0
77,15.7688,231.637,2,0
78,82.8993,91.4792,2,0
79,444.336,221.88,2,0
80,549.249,204.385,2,0
81,10.9724,128.729,2,0
82,579.058,13.1385,2,0
83,135.258,171.115,2,0
84,189.725,18.0409,2,0
85,15.3809,152.81,2,0
86,310.941,251.136,2,0
87,481.361,159.137,2,0
88,426.875,92.9516,2,0
89,332.451,230.878,2,0
90,267.42,155.273,2,0
91,455.9,253.375,2,0
92,237.121,133.417,2,0
93,217.29,273.934,2,0
94,594.618,163.481,2,0
95,590.085,194.627,2,0
96,140.519,124.827,2,0
97,56.9496,154.704,2,0
98,183.486,177.781,2,0
99,333.405,298,2,0
100,81.3359,164.263,2,0
101,126.72,237.382,2,0
102,159.599,203.284,2,0
103,548.672,47.4736,2,0
104,588.391,287.866,2,0
105,296.286,152.35,2,0
106,550.532,154.525,2,0
107,211.6,141.456,2,0
108,198.111,41.482,2,0
109,428.295,17.1228,2,0
110,245.989,209.387,2,0
111,561.247,144.885,2,0
112,319.281,172.807,2,0
113,159.311,182.002,2,0
114,560.003,282.786,2,0
115,116.826,184.595,2,0
116,573.776,179.445,2,0
117,590.16,237.921,2,0
118,194.484,280.5,2,0
119,221.775,209.112,2,0
120,310.068,46.3854,2,0
121,1.85268,181.692,2,0
122,482.921,55.0835,2,0
123,453.615,298,2,0
124,535.386,217.999,2,0
125,246.801,139.002,2,0
126,537.262,135.979,2,0
127,466.414,161.241,2,0
128,313.049,53.978,2,0
129,27.2398,210.1,2,0
130,429.444,224.561,2,0
131,230.769,27.8299,2,0
132,114.517,287.361,2,0
133,574.394,246.855,2,0
134,547.701,43.5145,2,0
135,102.205,160.455,2,0
136,134.22,108.08,2,0
137,363.012,35.9977,2,0
138,471.004,264.065,2,0
139,389.75,239.72,2,0
140,76.3107,92.6629,2,0
141,85.4481,41.7826,2,0
142,334.271,140.356,2,0
143,585.959,255.777,2,0
144,500.761,171.149,2,0
145,4.21003,267.725,2,0
146,43.3992,47.1379,2,0
147,410.869,136.313,2,0
148,92.0782,261.917,2,0
149,231.802,235.478,2,0
150,218.714,151.473,2,0
151,32.185,94.7543,2,0
152,52.5027,226.125,2,0
153,333.442,87.5081,2,0
154,326.863,212.213,2,0
155,319.492,106.768,2,0
156,148.024,273.957,2,0
157,99.4045,282.889,2,0
158,115.806,228.028,2,0
159,285.091,280.816,2,0
160,330.415,159.64,2,0
161,196.708,109.571,2,0
162,67.6555,86.0033,2,0
163,146.701,287.035,2,0
164,343.748,283.436,2,0
165,443.345,83.7955,2,0
166,169.176,236.023,2,0
167,209.77,242.082,2,0
168,123.451,137.535,2,0
169,497.038,128.513,2,0
170,340.282,13.3485,2,0
171,512.929,75.9884,2,0
172,428.459,26.572,2,0
173,540.304,5.63429,2,0
174,389.496,173.323,2,0
175,219.573,108.203,2,0
176,534.833,232.758,2,0
177,386.019,122.042,2,0
178,457.623,31.7266,2,0
179,264.839,226.436,2,0
180,403.77,105.91,2,0
181,491.359,153.19,2,0
182,220.236,100.201,2,0
183,98.0594,49.572,2,0
184,283.137,212.732,2,0
185,508.286,127.086,2,0
186,318.296,278.459,2,0
187,485.724,214.614,2,0
188,141.93,195.198,2,0
189,552.196,12.9191,2,0
190,225.113,33.4756,2,0
191,429.376,96.281,2,0
192,560.917,227.655,2,0
193,112.49,197.973,2,0
194,42.3579,278.025,2,0
195,477.923,155.917,2,0
196,8.05128,110.474,2,0
197,235.075,197.077,2,0
198,42.4342,298,2,0
199,345.804,34.3173,2,0
200,323.493,19.176,2,0
201,145.794,95.3489,2,0
202,196.943,77.2008,2,0
203,555.427,291.138,2,0
204,516.455,20.0214,2,0
205,16.0145,16.9347,2,0
206,560.936,125.686,2,0
