id,x,y,radius,is_spanning
0,162.777,292.624,2,0
1,537.722,146.799,2,0
2,119.169,118.314,2,0
3,41.8513,154.965,2,0
4,463.165,43.1923,2,0
5,247.01,67.3497,2,0
6,388.041,254.078,2,0
7,307.97,81.4508,2,0
8,188.088,5.82305,2,0
9,435.761,261.21,2,0
10,327.201,153.025,2,0
11,338.788,280.527,2,0
12,73.7424,286.258,2,0
13,312.235,254.368,2,0
14,531.016,167.701,2,0
15,249.594,140.801,2,0
16,194.864,116.786,2,0
17,451.722,27.8124,2,0
18,174.851,293.517,2,0
19,261.491,169.884,2,0
20,38.5075,181.304,2,0
21,176.883,90.4061,2,0
22,59.9104,281.837,2,0
23,495.898,232.049,2,0
24,193.686,103.64,2,0
25,579.8,240.994,2,0
26,590.225,208.954,2,0
27,272.993,294.389,2,0
28,30.8323,49.3618,2,0
29,174.879,196.136,2,0
30,125.365,146.839,2,0
31,56.8046,181.076,2,0
32,162.979,97.3719,2,0
33,59.9778,105.857,2,0
34,536.232,181.502,2,0
35,288.535,54.9504,2,0
36,5.44013,119.82,2,0
37,39.9429,260.497,2,0
38,538.83,203.664,2,0
39,300.269,9.50588,2,0
40,53.8039,268.875,2,0
41,41.967,271.908,2,0
42,105.245,32.5168,2,0
43,171.322,154.303,2,0
44,378.737,171.125,2,0
45,160.057,203.051,2,0
46,59.2401,130.785,2,0
47,346.151,276.337,2,0
48,474.033,171.205,2,0
49,184.088,254.388,2,0
50,553.174,9.57727,2,0
51,178.834,22.6533,2,0
52,413.588,236.188,2,0
53,290.719,165.9,2,0
54,2.52277,200.085,2,0
55,246.688,106.397,2,0
56,589.675,158.333,2,0
57,564.5,251.881,2,0
58,206.924,64.5153,2,0
59,572.655,194.707,2,0
60,13.4073,192.207,2,0
61,204.182,85.4285,2,0
62,87.3016,294.422,2,0
63,324.661,82.6604,2,0
64,170.335,245.213,2,0
65,193.064,107.672,2,0
66,274.615,163.902,2,0
67,53.5255,78.7404,2,0
68,383.45,190.986,2,0
69,168.832,86.3535,2,0
70,149.232,92.5375,2,0
71,140.402,180.206,2,0
72,256.537,218.881,2,0
73,276.109,151.414,2,0
74,43.3846,27.5348,2,0
75,362.468,139.969,2,0
76,585.889,218.565,2,0
77,329.76,186.416,2,0
78,277.436,5.25139,2,0
79,577.013,287.725,2,0
80,320.943,61.5662,2,0
81,198.122,193.8,2,0
82,73.2679,260.816,2,0
83,488.389,21.8335,2,0
84,543.683,104.937,2,0
85,452.095,202.533,2,0
86,536.225,27.3567,2,0
87,264.905,73.4651,2,0
88,94.8342,196.18,2,0
89,285.674,181.526,2,0
90,38.1642,234.418,2,0
91,229.071,99.8852,2,0
92,158.971,280.597,2,0
93,189.527,56.8342,2,0
94,434.147,256.822,2,0
95,356.834,261.536,2,0
96,593.082,166.847,2,0
97,336.859,137.891,2,0
98,347.533,2,2,0
99,376.06,253.159,2,0
100,575.784,5.81686,2,0
101,461.248,154.456,2,0
102,84.6935,112.938,2,0
103,406.721,66.2247,2,0
104,129.836,84.9576,2,0
105,7.5518,43.5938,2,0
106,282.891,281.319,2,0
107,389.493,36.4542,2,0
108,352.504,97.4229,2,0
109,287.854,37.2111,2,0
110,458.333,39.5465,2,0
111,342.339,208.02,2,0
112,572.497,84.4575,2,0
113,457.82,88.0463,2,0
114,56.7872,205.214,2,0
115,447.742,124.992,2,0
116,440.229,51.9137,2,0
117,263.896,181.505,2,0
118,135.61,199.603,2,0
119,263.709,80.0122,2,0
120,346.934,111.138,2,0
121,372.675,41.0945,2,0
122,533.645,208.787,2,0
123,387.526,200.318,2,0
124,76.2691,83.8759,2,0
125,78.5225,173.834,2,0
126,495.533,12.4078,2,0
127,274.633,282.04,2,0
128,153.324,13.5299,2,0
129,576.305,123.072,2,0
130,477.687,298,2,0
131,402.219,255.216,2,0
132,98.8279,50.5093,2,0
133,276.169,291.745,2,0
134,75.1763,150.536,2,0
135,440.287,2,2,0
136,225.25,46.4549,2,0
137,353.891,45.4635,2,0
138,112.492,82.9116,2,0
139,544.145,256.511,2,0
140,159.227,11.9752,2,0
141,526.175,27.9642,2,0
142,184.431,290.29,2,0
143,255.066,68.6879,2,0
144,163.064,101.439,2,0
145,5.34632,215.422,2,0
146,556.519,236.577,2,0
147,506.764,162.747,2,0
148,439.927,9.37562,2,0
149,89.8364,241.402,2,0
150,372.34,59.4582,2,0
151,359.269,71.981,2,0
152,48.4665,52.4024,2,0
153,512.899,252.129,2,0
154,61.8285,275.396,2,0
155,349.181,104.922,2,0
156,394.349,81.0644,2,0
157,219.895,222.406,2,0
158,305.147,33.0812,2,0
159,566.495,188.079,2,0
160,545.769,199.905,2,0
161,551.857,253.583,2,0
162,574.854,23.2822,2,0
163,11.8993,6.18692,2,0
164,483.809,63.0763,2,0
165,466.792,149.35,2,0
