id,x,y,radius,is_spanning
0,101.284,16.5255,2,1
1,187.835,290.452,2,1
2,1.84113,225.554,2,1
3,348.975,277.811,2,1
4,321.419,166.53,2,1
5,31.2297,207.42,2,1
6,74.8476,164.403,2,1
7,45.7358,62.3663,2,1
8,399.375,89.5891,2,1
9,296.299,109.349,2,1
10,346.381,138.211,2,1
11,591.57,9.26805,2,1
12,433.698,46.1152,2,1
13,206.777,189.384,2,1
14,216.248,263.88,2,1
15,412.321,187.003,2,1
16,393.488,125.276,2,1
17,357.403,240.807,2,1
18,291.065,258.301,2,1
19,418.57,252.771,2,1
20,34.2884,270.675,2,1
21,437.586,45.1086,2,1
22,170.989,298,2,1
23,87.7742,44.3809,2,1
24,274.356,232.996,2,1
25,547.065,193.01,2,1
26,107.14,29.474,2,1
27,114.264,170.411,2,1
28,567.3,40.8605,2,1
29,69.9233,86.799,2,1
30,380.983,247.617,2,1
31,266.441,213.4,2,1
32,20.4626,188.897,2,1
33,75.9844,90.0047,2,1
34,175.409,222.863,2,1
35,438.078,137.027,2,1
36,567.15,278.776,2,1
37,230.121,158.687,2,1
38,36.0806,131.157,2,1
39,361.427,136.074,2,1
40,455.303,223.065,2,1
41,284.824,253.606,2,1
42,536.377,237.106,2,1
43,152.55,283.793,2,1
44,432.696,111.552,2,1
45,224.175,20.7679,2,1
46,461.111,77.1484,2,1
47,24.2195,287.407,2,1
48,323.506,26.4747,2,1
49,497.488,70.6149,2,1
50,226.781,78.4445,2,1
51,416.188,2.8481,2,1
52,342.679,241.2,2,1
53,364.785,30.0383,2,1
54,475.758,18.1679,2,1
55,253.838,134.63,2,1
56,215.586,2.60283,2,1
57,22.1971,129.139,2,1
58,60.7318,235.181,2,1
59,240.979,80.0166,2,1
60,359.245,60.0778,2,1
61,57.8178,24.2662,2,1
62,312.12,123.005,2,1
63,19.3793,156.727,2,1
64,374.795,132.377,2,1
65,496.412,144.387,2,1
66,375.044,147.314,2,1
67,284.248,196.075,2,1
68,319.276,136.909,2,1
69,72.558,184.908,2,1
70,513.062,210.753,2,1
71,104.816,102.351,2,1
72,508.273,248.676,2,1
73,15.6775,279.594,2,1
74,302.012,256.638,2,1
75,415.337,134.603,2,1
76,69.0418,90.8532,2,1
77,484.669,267.782,2,1
78,414.685,195.772,2,1
79,73.0942,105.845,2,1
80,11.2358,13.9047,2,1
81,558.116,156.2,2,1
82,535.144,82.0758,2,1
83,568.836,6.05537,2,1
84,561.498,66.368,2,1
85,250.793,221.702,2,1
86,594.62,15.7256,2,1
87,430.218,154.768,2,1
88,244.992,9.27868,2,1
89,288.025,244.827,2,1
90,142.437,101.534,2,1
91,575.756,68.6117,2,1
92,468.333,251.928,2,1
93,126.868,228.155,2,1
94,196.38,72.5991,2,1
95,46.0003,133.569,2,1
96,23.2414,116.993,2,1
97,517.684,270.249,2,1
98,499.1,265.362,2,1
99,523.884,99.973,2,1
100,15.2261,14.983,2,1
101,566.028,270.83,2,1
102,588.203,79.2274,2,1
103,319.819,260.881,2,1
104,595.419,161.083,2,1
105,500.041,13.0614,2,1
106,266.369,196.468,2,1
107,44.0256,112.943,2,1
108,456.931,215.119,2,1
109,367.387,98.7951,2,1
110,491.885,215.104,2,1
111,549.946,232.743,2,1
112,149.776,132.641,2,1
113,311.357,15.9722,2,1
114,191.279,109.369,2,1
115,244.073,90.9602,2,1
116,152.866,26.3952,2,1
117,326.561,231.785,2,1
118,252.657,102.256,2,1
119,426.663,292.558,2,1
120,513.243,130.02,2,1
121,540.912,220.588,2,1
122,320.004,117.722,2,1
123,124.964,14.7898,2,1
